transaction_id,sender_account,receiver_account,amount,timestamp
T001,A511,B201,1563,2026-08-22T21:10:21.926661
T002,A507,B202,5399,2026-08-22T21:10:21.926661
T003,A505,TARGET01,4567,2026-08-22T21:10:21.926661
T004,A501,TARGET01,3790,2026-08-22T21:10:21.926661
T005,A506,B203,9498,2026-08-22T21:10:21.926661
T006,A514,B202,5019,2026-08-22T21:10:21.926661
T007,A520,SHELL01,8087,2026-08-22T21:10:21.926661
T008,A519,B202,1323,2026-08-22T21:10:21.926661
T009,A503,B203,7346,2026-08-22T21:10:21.926661
T010,A504,B201,9882,2026-08-22T21:10:21.926661
T011,A515,TARGET01,3999,2026-08-22T21:10:21.926661
T012,A503,SHELL01,6063,2026-08-22T21:10:21.926661
T013,A513,TARGET01,2720,2026-08-22T21:10:21.926661
T014,A505,SHELL01,4759,2026-08-22T21:10:21.926661
T015,A501,B203,7529,2026-08-22T21:10:21.926661
T016,A501,TARGET01,8636,2026-08-22T21:10:21.926661
T017,A520,TARGET01,7495,2026-08-22T21:10:21.926661
T018,A506,SHELL01,3008,2026-08-22T21:10:21.926661
T019,A509,B202,2807,2026-08-22T21:10:21.926661
T020,A505,TARGET01,1539,2026-08-22T21:10:21.926661
